page,capability,source_file,source_exists,source_time_type,source_grain,core_object,core_exists,supported_metrics,unsupported_metrics,mart_object,mart_exists,calculation_ready,official_whitelist,backend_endpoint,frontend_status,capability_status,gap_type,gap_reason,recommended_action
今日经营,经营驾驶舱 KPI/趋势/贡献,成交分析-成交概览/商品构成,true,DAILY_FACT,day×shop×scope,core.douyin_deal_daily,true,transaction_amount/user_pay_amount/refund_rate/ad_spend/settlement,-,get_business_period_summary/get_platform_business_period_summary,true,true,true,/business/summary /business/trend /business/compare /business/shop-contribution,READY,READY,READY,-,无需动作
店铺经营,两店对比/贡献/环比,成交分析-成交概览,true,DAILY_FACT,day×shop,core.douyin_deal_daily,true,transaction/user_pay/refund_rate/ad_spend/settlement/contribution,-,get_business_period_summary×2/get_shop_contribution,true,true,true,/business/summary /business/shop-contribution,READY,READY,READY,-,无需动作
经营优先级,风险/机会/Action 优先级,V1.1 智能层(6月基线),true,PERIOD_SNAPSHOT,period,mart.daily_action_item,true,risk_priority_score/opportunity_priority_score/action,-,get_daily_risk_priorities/get_daily_opportunity_priorities/get_daily_action_list,true,true,true,/priorities/*,READY,STALE,REFRESH_GAP,智能结果停在 2026-06-24，事实已到 2026-08-07（REFRESH_GAP）,建立导入后智能刷新调度链(阶段13)
品线,品线结构+成员,成交分析-商品构成+主数据,true,VERSION,structure,meta.product_line/master_product,true,成员/映射数/覆盖店数,-,meta.product_line(直查)/get_product_line_members,true,true,false,/master-data/product-line-members(meta直查),READY,READY,READY,页面走 meta 直查端点已可用；get_product_line_members 函数未入白名单(PUBLIC_CANDIDATE),函数纳入白名单后切换为正式函数接口
品线,品线经营汇总,成交分析-商品构成×CONFIRMED映射,true,DAILY_FACT,day×MP,core.douyin_product_daily+映射,true,user_pay_amount/refund_amount/refund_rate/mapping_coverage,transaction/settlement/ad_spend(无交叉事实),get_product_line_period_summary,true,true,false,无,PARTIAL,PARTIAL,WHITELIST_GAP,函数存在验证通过(鱼子酱30日881万)但未入白名单,验收后纳入白名单；趋势需日层函数(MART_GAP)
品线,品线趋势,core.douyin_product_daily(逐日已有),true,DAILY_FACT,day,core.douyin_product_daily+映射,true,user_pay 逐日,-,无日层函数(仅区间汇总),false,false,false,无,NOT_DEPLOYED,NOT_DEPLOYED,MART_GAP,无确定性日序列函数(避免Backend N次调用),经确认后在mart新增确定性日层函数(用户阶段5允许)
Master Product,主档列表/映射状态,主数据,true,VERSION,structure,meta.master_product,true,编码/名称/状态,-,meta.master_product(直查),true,true,true,/master-data/products,READY,READY,READY,-,无需动作
Master Product,MP 经营汇总/跨店拆解,成交分析-商品构成×CONFIRMED,true,DAILY_FACT,day×MP×shop,core.douyin_product_daily+映射,true,user_pay/refund/refund_rate/mapped_shop_count/店铺拆解,transaction/settlement(无事实),get_master_product_period_summary/decompose_master_product_by_shop_product,true,true,false,无,PARTIAL,PARTIAL,WHITELIST_GAP,两函数验证通过(整体=两店之和)但未入白名单,验收后纳入白名单
Master Product,MP 经营排名,成交分析-商品构成×CONFIRMED,true,DAILY_FACT,day×MP,core.douyin_product_daily+映射,true,user_pay_amount(唯一真实指标),transaction/settlement(声明但未计算),rank_master_products,true,true,false,无,PARTIAL,PARTIAL,WHITELIST_GAP,"metric_key 假契约(仅算user_pay,三种key值相同)",先修正函数体(支持真实多指标或收紧契约)再入白名单
商品,商品排名,成交分析-商品构成,true,DAILY_FACT,day×product×shop,core.douyin_product_daily,true,user_pay_amount,-,rank_products,true,true,true,/business/products/top,READY,READY,READY,-,无需动作
