schema_name,object_name,object_type,owner,comment,estimated_rows,responsibility,lifecycle,dependencies,dependents
audit,ai_diagnosis_run_run_id_seq,SEQUENCE,postgres,,,AUDIT,INTERNAL,,
audit,import_batch_batch_id_seq,SEQUENCE,postgres,,,AUDIT,INTERNAL,,
audit,masterdata_change_log_change_id_seq,SEQUENCE,postgres,,,AUDIT,INTERNAL,,
audit,ai_diagnosis_run,TABLE,postgres,V1.1 AI 诊断审计（不含密码/密钥/.env/完整system prompt）。,-1,AUDIT,ACTIVE,,
audit,import_batch,TABLE,postgres,数据导入批次表：每上传和处理一次Excel文件，就生成一条导入记录，用于追踪文件来源、数据周期、处理状态和错误信息。,-1,AUDIT,ACTIVE,,中文数据.导入批次记录
audit,masterdata_change_log,TABLE,postgres,V1.3 主数据变更审计（历史可追溯，禁止物理删除历史映射）。,158,AUDIT,ACTIVE,,meta.audit_mapping;meta.audit_masterdata
core,douyin_account_daily_row_id_seq,SEQUENCE,postgres,,,CORE_FACT,INTERNAL,,
core,douyin_audience_daily_row_id_seq,SEQUENCE,postgres,,,CORE_FACT,INTERNAL,,
core,douyin_carrier_daily_row_id_seq,SEQUENCE,postgres,,,CORE_FACT,INTERNAL,,
core,douyin_category_daily_row_id_seq,SEQUENCE,postgres,,,CORE_FACT,INTERNAL,,
core,douyin_content_daily_row_id_seq,SEQUENCE,postgres,,,CORE_FACT,INTERNAL,,
core,douyin_deal_daily_row_id_seq,SEQUENCE,postgres,,,CORE_FACT,INTERNAL,,
core,douyin_price_band_daily_row_id_seq,SEQUENCE,postgres,,,CORE_FACT,INTERNAL,,
core,douyin_product_daily_row_id_seq,SEQUENCE,postgres,,,CORE_FACT,INTERNAL,,
core,douyin_terminal_daily_row_id_seq,SEQUENCE,postgres,,,CORE_FACT,INTERNAL,,
core,douyin_account_daily,TABLE,postgres,抖音账号构成日表：按账号名称、账号类型和成交归属拆分。,3940,CORE_FACT,ACTIVE,,mart._diag_account;mart.account_daily;mart.get_account_period_summary;中文数据.抖音账号日报
core,douyin_audience_daily,TABLE,postgres,抖音人群构成日表：按首购/复购人群和载体类型拆分。,711,CORE_FACT,ACTIVE,,mart.audience_daily;mart.get_audience_period_summary;中文数据.抖音人群日报
